Fe+16        26        17      10180000.(2P)
  68  14 7.96+10 5.94-02 5.05-02 4.40-02 3.88-02 3.47-02 3.44-02 3.92-02 4.85-02 3.39-02
  69  14 5.80+10 4.37-02 3.83-02 3.36-02 2.95-02 2.61-02 2.56-02 2.89-02 3.55-02 2.46-02
  70  14 5.52+11 1.85-01 1.67-01 1.58-01 1.56-01 1.65-01 2.11-01 2.81-01 3.85-01 3.26-01
  71  14 1.33+10 1.96-02 1.93-02 1.82-02 1.62-02 1.43-02 1.31-02 1.32-02 1.40-02 3.27-03
  72  14 0.00+00 5.82-02 6.46-02 6.83-02 6.37-02 5.75-02 5.26-02 5.24-02 5.40-02 0.00+00
  73  14 0.00+00 2.14-01 2.28-01 2.44-01 2.49-01 2.58-01 2.86-01 3.19-01 3.55-01 0.00+00
  74  14 0.00+00 5.18-02 5.63-02 5.84-02 5.55-02 5.23-02 5.11-02 5.31-02 5.63-02 0.00+00
  75  14 0.00+00 2.79-02 3.11-02 3.24-02 3.03-02 2.76-02 2.60-02 2.65-02 2.79-02 0.00+00
  76  14 5.31+08 5.07-03 3.65-03 1.86-03 1.03-03 5.69-04 2.83-04 2.00-04 1.80-04 1.12-04
  77  14 1.67+08 2.96-03 2.06-03 1.03-03 5.64-04 3.00-04 1.31-04 7.46-05 4.94-05 2.11-05
  78  14 0.00+00 3.67-03 2.31-03 1.08-03 5.75-04 3.00-04 1.26-04 6.58-05 3.45-05 0.00+00
  79  14 0.00+00 4.79-03 3.09-03 1.59-03 9.85-04 6.65-04 4.74-04 4.16-04 3.92-04 0.00+00
  80  14 0.00+00 4.48-03 2.88-03 1.38-03 7.54-04 4.13-04 1.96-04 1.21-04 8.18-05 0.00+00
  81  14 0.00+00 4.38-03 2.62-03 1.19-03 6.30-04 3.28-04 1.39-04 7.33-05 3.95-05 0.00+00
  82  14 0.00+00 5.36-03 3.29-03 1.53-03 8.30-04 4.54-04 2.20-04 1.41-04 1.03-04 0.00+00
  83  14 0.00+00 1.62-03 1.02-03 4.87-04 2.70-04 1.52-04 7.71-05 5.05-05 3.66-05 0.00+00
  84  14 0.00+00 6.70-03 4.58-03 2.56-03 1.64-03 1.06-03 5.85-04 3.58-04 2.11-04 0.00+00
  85  14 8.93+10 4.00-02 2.76-02 1.62-02 1.15-02 9.24-03 8.96-03 1.05-02 1.33-02 9.98-03
  86  14 0.00+00 3.40-04 2.04-04 9.72-05 5.50-05 3.15-05 1.52-05 8.64-06 4.83-06 0.00+00
  87  14 1.62+09 1.25-03 7.68-04 4.01-04 2.66-04 2.04-04 1.91-04 2.20-04 2.74-04 1.78-04
  88  14 0.00+00 6.46-04 4.08-04 2.09-04 1.28-04 8.16-05 4.92-05 3.61-05 2.84-05 0.00+00
  89  14 1.32+09 9.48-04 6.01-04 3.38-04 2.42-04 2.01-04 2.01-04 2.35-04 2.97-04 2.41-04
  90  14 1.17+09 7.00-04 4.57-04 2.72-04 2.06-04 1.81-04 1.97-04 2.45-04 3.26-04 2.99-04
  91  14 4.78+08 6.45-04 3.83-04 1.95-04 1.26-04 9.24-05 7.94-05 8.68-05 1.07-04 8.72-05
  92  14 4.23+05 7.41-04 4.43-04 2.18-04 1.31-04 8.39-05 5.25-05 4.09-05 3.47-05 1.08-07
  93  14 2.63+08 7.60-04 4.81-04 2.62-04 1.75-04 1.27-04 9.69-05 9.11-05 9.49-05 2.83-05
  94  14 0.00+00 1.09-03 6.32-04 3.15-04 1.98-04 1.37-04 9.94-05 8.82-05 8.42-05 0.00+00
  95  14 0.00+00 1.70-03 9.79-04 5.03-04 3.35-04 2.50-04 2.01-04 1.87-04 1.83-04 0.00+00
  96  14 0.00+00 6.37-04 3.93-04 2.03-04 1.26-04 8.15-05 4.83-05 3.40-05 2.53-05 0.00+00
  97  14 0.00+00 7.24-04 4.83-04 3.08-04 2.46-04 2.18-04 2.12-04 2.21-04 2.34-04 0.00+00
  98  14 0.00+00 6.86-04 4.10-04 2.19-04 1.48-04 1.12-04 9.16-05 8.75-05 8.79-05 0.00+00
  99  14 0.00+00 8.63-04 4.84-04 2.32-04 1.41-04 9.39-05 6.51-05 5.64-05 5.32-05 0.00+00
 100  14 0.00+00 5.85-04 3.61-04 2.05-04 1.49-04 1.20-04 1.04-04 1.02-04 1.04-04 0.00+00
 101  14 1.85+06 4.40-04 2.53-04 1.21-04 7.14-05 4.51-05 2.86-05 2.30-05 2.00-05 3.26-07
 102  14 0.00+00 4.90-04 3.15-04 1.71-04 1.12-04 7.78-05 5.41-05 4.52-05 4.09-05 0.00+00
 103  14 2.07+07 3.68-04 2.44-04 1.30-04 8.18-05 5.54-05 3.97-05 3.56-05 3.50-05 5.11-06
 104  14 0.00+00 3.54-04 2.79-04 1.97-04 1.63-04 1.47-04 1.44-04 1.47-04 1.50-04 0.00+00
 105  14 0.00+00 3.83-04 2.71-04 1.51-04 9.47-05 6.07-05 3.56-05 2.51-05 1.90-05 0.00+00
 106  14 2.89+05 2.27-04 1.68-04 1.09-04 8.42-05 7.09-05 6.39-05 6.26-05 6.23-05 7.12-08
 107  14 0.00+00 2.97-04 2.21-04 1.35-04 9.54-05 7.29-05 5.91-05 5.49-05 5.30-05 0.00+00
 108  14 0.00+00 2.44-04 1.89-04 1.29-04 1.02-04 8.73-05 7.98-05 7.84-05 7.80-05 0.00+00
 109  14 0.00+00 3.84-04 2.77-04 1.57-04 1.01-04 6.83-05 4.55-05 3.69-05 3.21-05 0.00+00
 110  14 0.00+00 1.54-02 1.11-02 7.14-03 5.47-03 4.51-03 3.90-03 3.77-03 3.81-03 0.00+00
 111  14 0.00+00 1.12-02 8.14-03 5.20-03 3.85-03 2.97-03 2.20-03 1.83-03 1.60-03 0.00+00
 112  14 0.00+00 7.58-02 6.62-02 5.77-02 5.46-02 5.35-02 5.39-02 5.50-02 5.62-02 0.00+00
 113  14 0.00+00 3.76-03 2.92-03 2.17-03 1.88-03 1.75-03 1.77-03 1.89-03 2.04-03 0.00+00
 114  14 0.00+00 1.10-03 6.61-04 3.56-04 2.39-04 1.74-04 1.26-04 1.07-04 9.57-05 0.00+00
 115  14 4.65+10 1.34-02 1.17-02 1.03-02 9.61-03 9.26-03 9.54-03 1.06-02 1.26-02 7.57-03
 116  14 3.11+10 1.05-02 9.07-03 7.90-03 7.30-03 6.90-03 6.86-03 7.42-03 8.62-03 5.06-03
 117  14 3.11+11 4.45-02 4.14-02 4.01-02 4.14-02 4.53-02 5.68-02 7.22-02 9.45-02 7.07-02
 118  14 8.41+09 5.54-03 5.00-03 4.55-03 4.29-03 4.08-03 3.92-03 3.95-03 4.12-03 8.12-04
 119  14 0.00+00 1.34-04 9.82-05 6.16-05 4.49-05 3.54-05 2.96-05 2.84-05 2.86-05 0.00+00
 120  14 0.00+00 1.37-02 1.32-02 1.26-02 1.20-02 1.13-02 1.04-02 1.00-02 9.90-03 0.00+00
 121  14 0.00+00 1.12-02 1.09-02 1.05-02 1.00-02 9.49-03 8.81-03 8.51-03 8.42-03 0.00+00
 122  14 0.00+00 3.81-02 3.82-02 3.89-02 4.00-02 4.18-02 4.58-02 4.99-02 5.41-02 0.00+00
 123  14 0.00+00 6.15-03 5.95-03 5.69-03 5.43-03 5.14-03 4.84-03 4.78-03 4.86-03 0.00+00
 124  14 6.03+06 5.50-03 5.42-03 5.22-03 5.00-03 4.75-03 4.50-03 4.40-03 4.36-03 1.32-06
 125  14 0.00+00 8.89-03 8.78-03 8.52-03 8.23-03 7.90-03 7.59-03 7.46-03 7.38-03 0.00+00
 126  14 0.00+00 9.18-03 8.97-03 8.45-03 7.82-03 7.02-03 5.96-03 5.31-03 4.85-03 0.00+00
 127  14 0.00+00 2.34-02 2.34-02 2.37-02 2.41-02 2.50-02 2.69-02 2.84-02 2.96-02 0.00+00
 128  14 0.00+00 1.60-05 1.32-05 9.68-06 7.49-06 5.66-06 3.68-06 2.52-06 1.69-06 0.00+00
 129  14 3.36+07 9.08-05 7.69-05 6.04-05 5.15-05 4.50-05 3.89-05 3.57-05 3.36-05 2.94-06
 130  14 3.94+07 3.10-04 2.86-04 2.52-04 2.30-04 2.09-04 1.79-04 1.52-04 1.27-04 5.70-06
 131  14 1.12+03 2.81-04 2.68-04 2.46-04 2.30-04 2.12-04 1.83-04 1.56-04 1.29-04 9.71-11
 132  14 0.00+00 2.27-05 2.01-05 1.73-05 1.54-05 1.35-05 1.07-05 8.48-06 6.52-06 0.00+00
 133  14 0.00+00 5.23-05 4.48-05 3.72-05 3.27-05 2.85-05 2.30-05 1.93-05 1.62-05 0.00+00
 134  14 0.00+00 1.43-04 1.27-04 1.12-04 1.03-04 9.53-05 8.49-05 7.64-05 6.82-05 0.00+00
 135  14 0.00+00 8.86-05 7.84-05 6.92-05 6.42-05 5.96-05 5.24-05 4.58-05 3.89-05 0.00+00
 136  14 7.70+07 2.62-05 2.59-05 2.53-05 2.45-05 2.35-05 2.23-05 2.19-05 2.23-05 9.18-06
 137  14 3.11+08 6.55-05 6.49-05 6.37-05 6.25-05 6.15-05 6.22-05 6.58-05 7.40-05 5.19-05
 138  14 0.00+00 1.46-04 1.44-04 1.38-04 1.32-04 1.22-04 1.04-04 8.85-05 7.31-05 0.00+00
 139  14 4.59+08 1.34-04 1.34-04 1.34-04 1.34-04 1.34-04 1.37-04 1.42-04 1.53-04 7.64-05
  16  15 0.00+00 2.12-03 1.80-03 1.75-03 1.65-03 1.33-03 8.05-04 4.96-04 2.89-04 0.00+00
  17  15 6.07+02 8.71-03 6.84-03 6.11-03 5.73-03 4.66-03 2.83-03 1.73-03 1.00-03 1.23-06
  18  15 0.00+00 1.89-02 1.32-02 1.02-02 8.92-03 6.97-03 4.15-03 2.53-03 1.46-03 0.00+00
  19  15 0.00+00 7.26-03 6.78-03 7.22-03 6.99-03 5.69-03 3.46-03 2.13-03 1.23-03 0.00+00
  20  15 0.00+00 1.06-02 8.87-03 8.17-03 7.61-03 6.33-03 4.42-03 3.42-03 2.84-03 0.00+00
  21  15 0.00+00 4.56-03 4.24-03 4.73-03 4.83-03 4.01-03 2.39-03 1.43-03 8.04-04 0.00+00
  22  15 0.00+00 4.25-03 4.53-03 6.04-03 6.62-03 6.00-03 4.60-03 3.90-03 3.57-03 0.00+00
  23  15 4.01+07 4.53-02 4.62-02 4.99-02 5.29-02 5.55-02 6.04-02 6.62-02 7.37-02 1.28-02
  24  15 0.00+00 1.41-02 1.13-02 1.04-02 9.74-03 7.87-03 4.74-03 2.89-03 1.66-03 0.00+00
  25  15 0.00+00 1.64-02 1.35-02 1.41-02 1.42-02 1.18-02 7.10-03 4.27-03 2.42-03 0.00+00
  26  15 0.00+00 1.22-02 1.23-02 1.46-02 1.53-02 1.38-02 1.09-02 9.56-03 8.95-03 0.00+00
  27  15 3.32+09 7.15-01 7.25-01 7.52-01 7.89-01 8.46-01 9.64-01 1.09+00 1.24+00 2.48-01
  28  15 0.00+00 3.16-02 2.62-02 1.63-02 9.91-03 5.63-03 2.52-03 1.34-03 7.11-04 0.00+00
  29  15 0.00+00 6.48-02 5.57-02 3.48-02 2.11-02 1.21-02 5.60-03 3.14-03 1.80-03 0.00+00
  30  15 0.00+00 2.46-03 1.72-03 1.11-03 8.31-04 6.39-04 4.58-04 3.47-04 2.53-04 0.00+00
  31  15 4.05+09 4.08-02 3.89-02 3.79-02 3.82-02 3.96-02 4.36-02 4.85-02 5.49-02 1.30-02
  32  15 0.00+00 4.23-03 3.56-03 2.82-03 2.25-03 1.70-03 1.13-03 8.10-04 5.64-04 0.00+00
  33  15 1.57+10 1.07-01 1.08-01 1.10-01 1.13-01 1.20-01 1.35-01 1.52-01 1.74-01 4.47-02
  34  15 0.00+00 3.96-04 5.55-04 6.73-04 5.58-04 3.76-04 1.88-04 1.04-04 5.61-05 0.00+00
  35  15 0.00+00 9.32-04 1.21-03 1.39-03 1.14-03 7.74-04 4.02-04 2.34-04 1.36-04 0.00+00
  36  15 0.00+00 6.23-04 9.18-04 1.22-03 1.05-03 7.25-04 3.68-04 2.05-04 1.10-04 0.00+00
  37  15 0.00+00 2.54-03 2.81-03 2.84-03 2.43-03 1.93-03 1.37-03 1.06-03 8.35-04 0.00+00
  38  15 0.00+00 1.56-02 1.18-02 6.82-03 4.12-03 2.38-03 1.11-03 6.06-04 3.28-04 0.00+00
  39  15 2.69+10 3.62-02 2.82-02 1.83-02 1.37-02 1.18-02 1.30-02 1.63-02 2.15-02 1.54-02
  40  15 0.00+00 8.49-03 6.37-03 3.78-03 2.41-03 1.50-03 7.95-04 4.84-04 2.90-04 0.00+00
  41  15 0.00+00 3.28-03 2.67-03 1.70-03 1.11-03 6.83-04 3.41-04 1.95-04 1.09-04 0.00+00
  42  15 3.69+10 4.66-02 3.69-02 2.34-02 1.67-02 1.35-02 1.39-02 1.71-02 2.26-02 1.74-02
  43  15 0.00+00 1.24-02 9.53-03 6.22-03 4.61-03 3.70-03 3.33-03 3.48-03 3.79-03 0.00+00
  44  15 0.00+00 9.34-03 7.27-03 4.51-03 2.95-03 1.87-03 9.89-04 5.93-04 3.47-04 0.00+00
  45  15 0.00+00 1.01-02 7.28-03 4.04-03 2.42-03 1.41-03 6.73-04 3.81-04 2.14-04 0.00+00
  46  15 0.00+00 9.65-03 7.73-03 5.21-03 3.93-03 3.23-03 3.01-03 3.21-03 3.56-03 0.00+00
  47  15 0.00+00 1.81-02 1.65-02 1.45-02 1.33-02 1.25-02 1.20-02 1.20-02 1.21-02 0.00+00
  48  15 0.00+00 1.17-02 8.84-03 5.31-03 3.40-03 2.11-03 1.08-03 6.38-04 3.69-04 0.00+00
  49  15 0.00+00 1.10-02 8.52-03 5.28-03 3.43-03 2.14-03 1.11-03 6.63-04 3.87-04 0.00+00
  50  15 0.00+00 2.11-02 1.63-02 1.12-02 8.70-03 7.26-03 6.78-03 7.19-03 7.93-03 0.00+00
  51  15 0.00+00 1.10-03 8.04-04 5.55-04 4.09-04 2.87-04 1.65-04 1.02-04 6.03-05 0.00+00
  52  15 2.51+08 5.21-03 3.64-03 2.28-03 1.58-03 1.07-03 6.19-04 4.19-04 3.10-04 9.31-05
  53  15 0.00+00 3.64-03 2.94-03 2.25-03 1.72-03 1.22-03 7.06-04 4.35-04 2.56-04 0.00+00
  54  15 0.00+00 4.17-03 3.18-03 2.25-03 1.66-03 1.15-03 6.46-04 3.94-04 2.29-04 0.00+00
  55  15 0.00+00 4.12-03 3.51-03 2.97-03 2.58-03 2.26-03 2.02-03 1.94-03 1.90-03 0.00+00
  56  15 0.00+00 6.31-02 6.09-02 5.85-02 5.74-02 5.71-02 5.80-02 5.92-02 6.04-02 0.00+00
  57  15 0.00+00 2.94-03 2.20-03 1.52-03 1.08-03 7.11-04 3.73-04 2.18-04 1.23-04 0.00+00
  58  15 0.00+00 3.20-03 2.86-03 2.52-03 2.24-03 2.02-03 1.88-03 1.86-03 1.87-03 0.00+00
  59  15 7.25+10 1.39-02 1.28-02 1.24-02 1.26-02 1.38-02 1.81-02 2.41-02 3.26-02 2.53-02
  60  15 0.00+00 1.57-03 1.65-03 1.57-03 1.32-03 9.98-04 6.14-04 3.93-04 2.37-04 0.00+00
  61  15 0.00+00 2.71-03 2.83-03 2.81-03 2.59-03 2.38-03 2.32-03 2.42-03 2.58-03 0.00+00
  62  15 0.00+00 2.71-03 2.87-03 2.77-03 2.34-03 1.77-03 1.09-03 6.99-04 4.22-04 0.00+00
  63  15 0.00+00 9.44-03 9.69-03 1.00-02 1.02-02 1.05-02 1.14-02 1.26-02 1.39-02 0.00+00
  64  15 0.00+00 2.24-03 2.39-03 2.29-03 1.89-03 1.40-03 8.32-04 5.21-04 3.10-04 0.00+00
  65  15 0.00+00 1.93-02 1.97-02 2.08-02 2.19-02 2.36-02 2.73-02 3.10-02 3.48-02 0.00+00
  66  15 0.00+00 1.42-03 1.55-03 1.50-03 1.22-03 8.73-04 4.94-04 3.00-04 1.75-04 0.00+00
  67  15 0.00+00 1.57-03 1.71-03 1.68-03 1.44-03 1.17-03 9.59-04 9.06-04 9.08-04 0.00+00
  68  15 0.00+00 4.97-03 3.97-03 3.06-03 2.34-03 1.64-03 9.24-04 5.63-04 3.28-04 0.00+00
  69  15 0.00+00 7.53-03 5.84-03 4.33-03 3.22-03 2.22-03 1.24-03 7.51-04 4.35-04 0.00+00
  70  15 0.00+00 7.65-03 7.08-03 6.48-03 5.79-03 5.13-03 4.63-03 4.50-03 4.45-03 0.00+00
  71  15 2.36+11 2.67-02 2.62-02 2.72-02 2.90-02 3.31-02 4.54-02 6.18-02 8.51-02 7.03-02
  72  15 0.00+00 3.31-03 3.75-03 3.81-03 3.22-03 2.43-03 1.47-03 9.37-04 5.63-04 0.00+00
  73  15 0.00+00 4.72-03 5.43-03 5.83-03 5.33-03 4.63-03 4.10-03 4.05-03 4.16-03 0.00+00
  74  15 0.00+00 5.37-03 6.20-03 6.20-03 5.16-03 3.83-03 2.30-03 1.45-03 8.67-04 0.00+00
  75  15 0.00+00 3.07-02 3.22-02 3.44-02 3.58-02 3.81-02 4.37-02 4.95-02 5.56-02 0.00+00
  76  15 0.00+00 3.48-03 2.27-03 1.17-03 6.92-04 4.13-04 2.07-04 1.21-04 6.84-05 0.00+00
  77  15 1.68+10 6.38-03 4.39-03 2.53-03 1.78-03 1.46-03 1.51-03 1.86-03 2.50-03 2.46-03
  78  15 0.00+00 1.76-03 1.19-03 6.66-04 4.34-04 2.91-04 1.73-04 1.13-04 7.18-05 0.00+00
  79  15 0.00+00 3.37-03 2.25-03 1.29-03 9.08-04 7.14-04 6.29-04 6.43-04 6.86-04 0.00+00
  80  15 0.00+00 2.61-03 1.77-03 9.96-04 6.56-04 4.41-04 2.58-04 1.65-04 1.01-04 0.00+00
  81  15 0.00+00 1.74-03 1.13-03 5.93-04 3.61-04 2.24-04 1.21-04 7.51-05 4.57-05 0.00+00
  82  15 0.00+00 2.91-03 1.98-03 1.12-03 7.76-04 6.03-04 5.34-04 5.53-04 5.98-04 0.00+00
  83  15 0.00+00 6.17-03 5.77-03 5.46-03 5.41-03 5.47-03 5.69-03 5.91-03 6.13-03 0.00+00
  84  15 0.00+00 8.50-04 5.78-04 3.27-04 2.13-04 1.39-04 7.78-05 4.78-05 2.83-05 0.00+00
  85  15 2.57+10 8.11-03 5.57-03 3.29-03 2.40-03 2.01-03 2.10-03 2.59-03 3.46-03 3.31-03
  86  15 0.00+00 1.92-04 1.52-04 1.15-04 9.36-05 7.32-05 4.76-05 3.14-05 1.93-05 0.00+00
  87  15 8.47+07 7.51-04 5.45-04 3.73-04 2.87-04 2.18-04 1.42-04 9.78-05 6.72-05 1.08-05
  88  15 0.00+00 8.90-04 7.16-04 5.54-04 4.54-04 3.55-04 2.30-04 1.51-04 9.25-05 0.00+00
  89  15 0.00+00 7.20-04 5.62-04 4.21-04 3.40-04 2.64-04 1.71-04 1.12-04 6.85-05 0.00+00
  90  15 0.00+00 9.31-04 7.64-04 6.28-04 5.64-04 5.19-04 4.81-04 4.67-04 4.61-04 0.00+00
  91  15 0.00+00 5.08-04 3.56-04 2.37-04 1.80-04 1.34-04 8.36-05 5.40-05 3.28-05 0.00+00
  92  15 0.00+00 6.94-04 5.72-04 4.78-04 4.38-04 4.14-04 4.02-04 4.05-04 4.11-04 0.00+00
  93  15 7.40+10 3.84-03 3.73-03 3.78-03 4.01-03 4.52-03 5.88-03 7.68-03 1.03-02 9.19-03
  94  15 0.00+00 4.99-04 4.18-04 3.42-04 2.91-04 2.36-04 1.60-04 1.08-04 6.77-05 0.00+00
  95  15 0.00+00 1.40-03 1.24-03 1.13-03 1.09-03 1.07-03 1.07-03 1.10-03 1.14-03 0.00+00
  96  15 0.00+00 7.95-04 7.26-04 6.39-04 5.59-04 4.60-04 3.13-04 2.11-04 1.32-04 0.00+00
  97  15 0.00+00 5.49-04 4.78-04 4.17-04 3.83-04 3.58-04 3.43-04 3.49-04 3.67-04 0.00+00
  98  15 0.00+00 5.62-04 4.95-04 4.23-04 3.64-04 2.95-04 1.98-04 1.32-04 8.26-05 0.00+00
  99  15 0.00+00 2.64-03 2.61-03 2.66-03 2.79-03 3.00-03 3.41-03 3.78-03 4.15-03 0.00+00
 100  15 0.00+00 3.23-04 2.76-04 2.28-04 1.92-04 1.53-04 1.00-04 6.63-05 4.10-05 0.00+00
 101  15 0.00+00 4.65-04 4.20-04 3.63-04 3.10-04 2.47-04 1.60-04 1.04-04 6.33-05 0.00+00
 102  15 0.00+00 2.96-04 2.59-04 2.21-04 1.95-04 1.70-04 1.44-04 1.35-04 1.33-04 0.00+00
 103  15 0.00+00 2.10-03 2.09-03 2.12-03 2.19-03 2.30-03 2.52-03 2.68-03 2.79-03 0.00+00
 104  15 0.00+00 5.40-04 5.21-04 4.97-04 4.84-04 4.78-04 4.88-04 5.06-04 5.26-04 0.00+00
 105  15 0.00+00 6.03-04 5.67-04 5.01-04 4.31-04 3.46-04 2.25-04 1.47-04 8.91-05 0.00+00
 106  15 0.00+00 1.37-03 1.37-03 1.40-03 1.47-03 1.57-03 1.75-03 1.89-03 1.98-03 0.00+00
 107  15 0.00+00 3.97-04 3.71-04 3.23-04 2.76-04 2.19-04 1.41-04 9.10-05 5.50-05 0.00+00
 108  15 0.00+00 2.13-04 1.94-04 1.64-04 1.37-04 1.07-04 6.77-05 4.36-05 2.62-05 0.00+00
 109  15 0.00+00 2.38-04 2.21-04 1.98-04 1.81-04 1.66-04 1.53-04 1.48-04 1.47-04 0.00+00
 110  15 0.00+00 2.14-03 1.48-03 8.63-04 5.84-04 4.02-04 2.41-04 1.56-04 9.75-05 0.00+00
 111  15 0.00+00 1.55-03 1.09-03 6.71-04 4.77-04 3.44-04 2.17-04 1.45-04 9.19-05 0.00+00
 112  15 0.00+00 3.97-03 2.87-03 1.91-03 1.54-03 1.36-03 1.33-03 1.42-03 1.54-03 0.00+00
 113  15 0.00+00 1.05-02 1.02-02 9.97-03 1.00-02 1.02-02 1.06-02 1.10-02 1.14-02 0.00+00
 114  15 0.00+00 2.38-04 1.59-04 9.50-05 6.62-05 4.67-05 2.84-05 1.84-05 1.13-05 0.00+00
 115  15 0.00+00 1.07-03 8.48-04 6.54-04 5.36-04 4.21-04 2.75-04 1.81-04 1.11-04 0.00+00
 116  15 0.00+00 1.25-03 1.04-03 8.34-04 6.96-04 5.52-04 3.62-04 2.39-04 1.47-04 0.00+00
 117  15 0.00+00 1.62-03 1.43-03 1.27-03 1.19-03 1.12-03 1.06-03 1.04-03 1.04-03 0.00+00
 118  15 1.45+11 6.56-03 6.44-03 6.59-03 7.04-03 7.97-03 1.04-02 1.37-02 1.84-02 1.60-02
 119  15 0.00+00 4.04-04 3.72-04 3.40-04 3.25-04 3.17-04 3.08-04 3.03-04 2.98-04 0.00+00
 120  15 0.00+00 1.01-03 9.40-04 8.45-04 7.46-04 6.17-04 4.21-04 2.85-04 1.79-04 0.00+00
 121  15 0.00+00 1.32-03 1.26-03 1.14-03 1.01-03 8.36-04 5.70-04 3.85-04 2.42-04 0.00+00
 122  15 0.00+00 9.66-04 9.14-04 8.53-04 7.98-04 7.40-04 6.81-04 6.69-04 6.80-04 0.00+00
 123  15 0.00+00 4.48-03 4.54-03 4.71-03 4.94-03 5.29-03 5.97-03 6.62-03 7.24-03 0.00+00
 124  15 0.00+00 3.48-03 3.51-03 3.63-03 3.80-03 4.06-03 4.54-03 4.89-03 5.15-03 0.00+00
 125  15 0.00+00 1.07-03 1.03-03 9.32-04 8.10-04 6.51-04 4.24-04 2.76-04 1.68-04 0.00+00
 126  15 0.00+00 7.18-04 6.93-04 6.30-04 5.49-04 4.43-04 2.90-04 1.89-04 1.15-04 0.00+00
 127  15 0.00+00 8.66-04 8.54-04 8.27-04 7.97-04 7.67-04 7.43-04 7.44-04 7.55-04 0.00+00
 128  15 0.00+00 1.47-05 1.24-05 9.34-06 7.45-06 5.86-06 4.00-06 2.79-06 1.84-06 0.00+00
 129  15 3.20+08 9.80-05 8.60-05 7.22-05 6.49-05 6.02-05 5.70-05 5.76-05 6.19-05 3.19-05
 130  15 0.00+00 7.09-05 6.04-05 4.50-05 3.56-05 2.79-05 1.89-05 1.32-05 8.75-06 0.00+00
 131  15 9.16+08 1.85-04 1.71-04 1.48-04 1.37-04 1.33-04 1.36-04 1.46-04 1.65-04 9.02-05
 132  15 0.00+00 2.01-05 1.71-05 1.40-05 1.19-05 9.78-06 6.81-06 4.73-06 3.08-06 0.00+00
 133  15 0.00+00 4.02-05 3.37-05 2.71-05 2.32-05 1.94-05 1.43-05 1.08-05 8.03-06 0.00+00
 134  15 0.00+00 4.98-05 4.18-05 3.36-05 2.84-05 2.31-05 1.59-05 1.09-05 6.99-06 0.00+00
 135  15 0.00+00 1.28-04 1.13-04 1.01-04 9.63-05 9.38-05 9.02-05 8.56-05 7.98-05 0.00+00
 136  15 0.00+00 2.58-05 2.50-05 2.29-05 2.04-05 1.69-05 1.16-05 7.92-06 5.07-06 0.00+00
 137  15 0.00+00 5.74-05 5.61-05 5.30-05 4.91-05 4.35-05 3.46-05 2.78-05 2.21-05 0.00+00
 138  15 0.00+00 5.55-05 5.37-05 4.91-05 4.34-05 3.57-05 2.40-05 1.60-05 9.90-06 0.00+00
 139  15 0.00+00 2.19-04 2.20-04 2.22-04 2.24-04 2.25-04 2.24-04 2.18-04 2.09-04 0.00+00
  17  16 0.00+00 2.99-02 3.19-02 4.15-02 4.45-02 3.91-02 2.62-02 1.75-02 1.10-02 0.00+00
  18  16 0.00+00 3.42-02 3.61-02 4.52-02 4.81-02 4.45-02 3.63-02 3.15-02 2.86-02 0.00+00
  19  16 0.00+00 1.10-02 1.24-02 1.92-02 2.19-02 1.94-02 1.27-02 8.77-03 6.34-03 0.00+00
  20  16 0.00+00 2.25-02 2.35-02 2.84-02 2.97-02 2.61-02 1.78-02 1.21-02 7.71-03 0.00+00
  21  16 0.00+00 1.15-02 1.36-02 1.93-02 2.06-02 1.79-02 1.23-02 9.08-03 7.00-03 0.00+00
  22  16 0.00+00 8.37-03 9.99-03 1.53-02 1.68-02 1.42-02 8.59-03 5.15-03 2.90-03 0.00+00
  23  16 0.00+00 9.92-03 1.26-02 1.87-02 1.96-02 1.63-02 1.00-02 6.24-03 3.68-03 0.00+00
  24  16 0.00+00 9.44-03 1.09-02 1.17-02 1.10-02 9.61-03 7.85-03 6.85-03 6.17-03 0.00+00
  25  16 0.00+00 2.44-03 3.32-03 4.44-03 4.44-03 3.81-03 2.87-03 2.39-03 2.10-03 0.00+00
  26  16 0.00+00 8.92-04 1.64-03 2.32-03 2.20-03 1.68-03 9.35-04 5.46-04 3.06-04 0.00+00
  27  16 0.00+00 4.90-03 6.69-03 8.85-03 8.64-03 7.06-03 4.60-03 3.12-03 2.06-03 0.00+00
  28  16 1.81+05 9.52-03 8.31-03 5.74-03 3.84-03 2.33-03 1.09-03 5.92-04 3.24-04 3.05-06
  29  16 0.00+00 8.44-04 7.64-04 6.32-04 4.71-04 3.06-04 1.48-04 8.02-05 4.21-05 0.00+00
  30  16 0.00+00 1.85-02 1.59-02 1.11-02 7.30-03 4.40-03 2.11-03 1.20-03 6.87-04 0.00+00
  31  16 0.00+00 9.95-03 8.19-03 5.54-03 3.64-03 2.19-03 1.02-03 5.56-04 3.00-04 0.00+00
  32  16 0.00+00 1.10-02 8.14-03 4.89-03 3.08-03 1.81-03 8.25-04 4.43-04 2.38-04 0.00+00
  33  16 0.00+00 4.21-03 4.54-03 3.40-03 2.29-03 1.38-03 6.37-04 3.38-04 1.76-04 0.00+00
  34  16 5.39+09 3.59-02 3.62-02 3.67-02 3.68-02 3.72-02 3.91-02 4.22-02 4.64-02 7.64-03
  35  16 0.00+00 3.04-03 3.22-03 3.74-03 3.43-03 2.72-03 1.82-03 1.29-03 8.98-04 0.00+00
